bodyId,type,instance
324453,JO-FV,JO-FV_L
324531,BM_InOm,BM_InOm_L
325112,,
325391,BM_InOm,BM_InOm_L
326200,BM_InOm,BM_InOm_R
326920,BM_InOm,BM_InOm_L
327169,,
327435,BM_InOm,BM_InOm_L
328287,BM_InOm,BM_InOm_R
329130,,
330716,BM_InOm,BM_InOm_R
331081,JO-FV,JO-FV_L
331154,BM_InOm,BM_InOm_L
331723,BM_InOm,BM_InOm_R
334545,BM_InOm,BM_InOm_R
335573,BM_InOm,BM_InOm_R
336332,JO-FV,JO-FV_L
336713,BM_MaPa,BM_MaPa_L
337014,BM_InOm,BM_InOm_R
337404,BM_InOm,BM_InOm_R
338000,BM_InOm,BM_InOm_L
339863,,
342366,BM_InOm,BM_InOm_L
342387,BM_InOm,BM_InOm_L
343346,JO-FV,JO-FV_L
343755,BM_InOm,BM_InOm_L
346129,BM_InOm,BM_InOm_R
347539,BM_InOm,BM_InOm_L
349902,BM_InOm,BM_InOm_L
351048,BM_InOm,BM_InOm_L
353032,,
353353,BM_InOm,BM_InOm_R
354071,BM_InOm,BM_InOm_L
355731,BM_InOm,BM_InOm_L
360461,JO-FV,JO-FV_L
361588,BM_InOm,BM_InOm_R
363186,BM_InOm,BM_InOm_R
364854,BM_InOm,BM_InOm_L
366437,BM_InOm,BM_InOm_R
370737,BM_InOm,BM_InOm_R
374817,BM_InOm,BM_InOm_R
376328,BM_InOm,BM_InOm_R
377359,BM_InOm,BM_InOm_L
379434,BM_InOm,BM_InOm_L
383152,,
383609,JO-FV,JO-FV_R
384458,BM_InOm,BM_InOm_R
385675,BM_InOm,BM_InOm_R
390116,JO-FV,JO-FV_R
390191,BM_MaPa,BM_MaPa_R
391478,BM_InOm,BM_InOm_L
391643,BM_InOm,BM_InOm_R
392311,BM_InOm,BM_InOm_R
393736,BM_InOm,BM_InOm_R
394013,BM_InOm,BM_InOm_R
400937,BM_InOm,BM_InOm_R
402408,BM_InOm,BM_InOm_L
403040,JO-FV,JO-FV_L
404484,BM_InOm,BM_InOm_L
407092,JO-FV,JO-FV_L
407325,JO-FV,JO-FV_R
407942,BM_InOm,BM_InOm_L
408508,BM_InOm,BM_InOm_L
409246,BM_InOm,BM_InOm_L
410443,BM_InOm,BM_InOm_L
412938,BM_InOm,BM_InOm_R
413665,BM_InOm,BM_InOm_R
416613,BM_InOm,BM_InOm_R
418026,BM_InOm,BM_InOm_L
422467,BM_InOm,BM_InOm_R
422978,JO-FV,JO-FV_R
423427,BM_InOm,BM_InOm_L
426803,JO-FV,JO-FV_L
428438,BM_InOm,BM_InOm_R
428785,BM_InOm,BM_InOm_L
428880,BM_InOm,BM_InOm_R
429535,BM_InOm,BM_InOm_R
429544,BM_InOm,BM_InOm_R
430460,BM_InOm,BM_InOm_R
430497,BM_InOm,BM_InOm_L
430903,BM_InOm,BM_InOm_R
432605,BM_InOm,BM_InOm_R
433054,BM_InOm,BM_InOm_R
435333,BM_InOm,BM_InOm_R
441179,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
442247,BM_InOm,BM_InOm_R
446276,BM_InOm,BM_InOm_R
447008,BM_InOm,BM_InOm_L
447631,BM_InOm,BM_InOm_R
447790,BM_InOm,BM_InOm_R
449363,BM_InOm,BM_InOm_L
449501,BM_InOm,BM_InOm_R
450263,BM_InOm,BM_InOm_R
457710,BM_InOm,BM_InOm_L
458737,BM,BM_L
464153,JO-FV,JO-FV_R
468519,BM_Vib,BM_Vib_R
471787,JO-FV,JO-FV_R
472022,BM_InOm,BM_InOm_R
477681,,
477979,,
479115,BM_InOm,BM_InOm_R
482280,JO-FV,JO-FV_L
494661,,
494761,BM_InOm,BM_InOm_L
511867,AN05B096,AN05B096_R
512059,ANXXX027,ANXXX027(15443)_L
512351,GNG490,GNG490_L
512512,BM_InOm,BM_InOm_L
512530,AN17B002,AN17B002_R
512555,AN09B018,AN09B018_L
512690,GNG516,GNG516_R
512825,ANXXX170,ANXXX170_L
513052,DNg15,DNg15_R
513114,AN01A055,AN01A055_R
513285,BM_Vt_PoOc,BM_Vt_PoOc_R
513286,,22507_R
513287,BM_Vib,BM_Vib_R
513405,AN05B040,AN05B040_L
513636,GNG495,GNG495_R
513688,BM_Hau,BM_Hau_R
513906,ANXXX404,ANXXX404_R
513968,AN05B017,AN05B017_L
515249,AN05B099,AN05B099_R
515514,JO-ED2_b,JO-ED2_b_L
515723,BM,BM_R
515724,BM,BM_R
515725,GNG451,GNG451_R
515767,ANXXX264,ANXXX264_L
516615,AN17A068,AN17A068_R
516930,DNg81,DNg81_L
517005,AN05B009,AN05B009_R
517276,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
517428,BM,BM_L
517631,,
517777,WED103,WED103_R
518563,DNg85,DNg85_L
518625,AN05B009,AN05B009_L
518626,BM,BM_L
519516,AN09B004,AN09B004_a_R
519626,AN17A008,AN17A008_L
519690,BM,BM_L
520119,mALD3,mALD3_R
520130,BM,BM_R
520131,BM,BM_R
520132,BM,BM_R
520133,BM,BM_R
520134,BM,BM_R
520195,AN05B023d,AN05B023d_R
520628,CB0591,CB0591_R
521358,SAD093,SAD093_L
521443,BM,BM_L
522310,ANXXX027,ANXXX027_R
522822,AN17A076,AN17A076_L
522840,,
523539,ANXXX027,ANXXX027(14994)_L
523547,AN05B097,AN05B097_L
523602,AN05B096,AN05B096_R
524082,GNG559,GNG559_R
524190,DNge012,DNge012_R
524245,AN09B014,AN09B014_R
524284,ALIN7,ALIN7_R
524363,GNG031,GNG031_L
524518,AN01B002,AN01B002(23382)_L
524860,AN09B013,AN09B013_R
524903,BM,BM_L
525378,GNG448,GNG448_R
525407,DNge128,DNge128_L
526592,AN05B068,AN05B068_R
529031,GNG300,GNG300_L
530686,AN17A018,AN17A018_R
530835,AN05B009,AN05B009_L
533407,BM_InOm,BM_InOm_R
535510,JO-FV,JO-FV_R
535512,JO-FV,JO-FV_R
536275,LN-DN2,LN-DN2_L
536485,BM_Vt_PoOc,BM_Vt_PoOc_R
550223,BM,BM_R
554335,BM_InOm,BM_InOm_L
554336,BM_InOm,BM_InOm_L
555500,DNg29,DNg29_R
555740,BM_Vt_PoOc,BM_Vt_PoOc_L
555871,DNpe017,DNpe017(hb1406000196)_R
556073,JO-FV,JO-FV_R
556076,GNG203,GNG203_L
556077,AN05B053,AN05B053_L
556078,,
556359,GNG511,GNG511_L
556721,,
556756,BM_Vib,BM_Vib_L
558778,AN08B012,AN08B012_R
558850,AN05B099,AN05B099_L
558912,,
560567,BM_MaPa,BM_MaPa_R
567846,BM_InOm,BM_InOm_R
569556,SAD117,SAD117_R
574283,BM_InOm,BM_InOm_L
581518,BM_MaPa,BM_MaPa_R
583692,,
800026,IN05B010,IN05B010_R
800092,IN05B028,IN05B028_L
800098,IN05B010,IN05B010_L
800101,IN01A012,IN01A012_R
800112,INXXX004,INXXX004_L
800125,IN04B001,IN04B001_L
800144,IN07B012,IN07B012_L
