bodyId,type,instance
81912,BM_vOcci_vPoOr,BM_vOcci_vPoOr_L
81935,BM_MaPa,BM_MaPa_R
83902,BM_Taste,BM_Taste_L
84707,BM_Vib,BM_Vib_L
84817,AN05B067,AN05B067_L
85165,AN17A015,AN17A015_L
85538,AN05B049_b,AN05B049_b_R
86166,BM_Taste,BM_Taste_R
86646,AN05B015,AN05B015_R
86887,AN05B054_a,AN05B054_a_R
87499,AN09B023,AN09B023_L
88070,AN04B004,AN04B004_R
88758,BM_Taste,BM_Taste_R
89002,JO-FV,JO-FV_R
90683,AN17A015,AN17A015_R
90933,BM,BM_L
91163,GNG429,GNG429_R
92767,JO-FD1,JO-FD1_L
93000,BM,BM_L
95106,AN05B049_b,AN05B049_b_L
95403,AN05B045,AN05B045_R
97950,BM_Vib,BM_Vib_R
100059,AN17A015,AN17A015_L
100113,AN05B063,AN05B063_L
101318,BM_Vib,BM_Vib_R
102452,,
103327,GNG380,GNG380_L
103807,AN05B056,AN05B056_L
104738,AN05B069,AN05B069_L
106770,,
106814,,
108254,,
108358,BM,BM_R
109201,BM_Vib,BM_Vib_L
111272,BM,BM_L
111319,,
111571,,
111673,BM_Vib,BM_Vib_R
113887,,
114110,,
114757,AN04B004,AN04B004_L
119995,AN12B060,AN12B060_L
120430,,
121953,BM_Vib,BM_Vib_R
122957,BM,BM_R
124689,AN05B054_a,AN05B054_a_L
127912,JO-FV,JO-FV_L
128571,BM_Vib,BM_Vib_L
128819,BM_Taste,BM_Taste_L
130639,AN05B068,AN05B068_L
131757,BM_Vib,BM_Vib_L
134177,BM,BM_L
136369,AN05B068,AN05B068_R
137781,BM_Taste,BM_Taste_L
140194,AN12B060,AN12B060_L
140213,AN12B060,AN12B060_L
142316,AN05B054_b,AN05B054_b_R
143534,,
144505,DNg65,DNg65_L
146314,JO-FV,JO-FV_L
148063,AN12B060,AN12B060_R
148808,BM,BM_R
150635,BM_vOcci_vPoOr,BM_vOcci_vPoOr_L
