Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3)
43409,g11000,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm16,Tm16,,,
43410,g12473,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Mi1,Mi1,,,
43411,g11763,"flywireType: Li06,statusLabel: Roughly traced",ACH,0.96,,,,,,ol_intrinsic,,,,,right,Tm24,Tm24,,,
43412,g11372,"statusLabel: Roughly traced,supertype: 11372",ACH,0.96,,,,,,visual_projection,,,VPNd3,,right,LC9,LC9,,,
43413,g11763,"flywireType: Li06,statusLabel: Reviewed",ACH,0.96,,,,,,ol_intrinsic,,,,,left,Tm24,Tm24,,,
43414,g12473,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Mi1,Mi1,,,
43415,g38905,"flywireType: Li08,statusLabel: Roughly traced",GABA,0.89,,,,,,ol_intrinsic,,,,,right,Li18a,Li18a,,,
43417,g15260,"statusLabel: Roughly traced,supertype: 15260",ACH,0.9,,,,,,visual_projection,,,VPNp2,,right,LC18,LC18,,,
43418,g13744,"flywireType: Tlp4,statusLabel: Roughly traced",GLUT,0.82,,,,,,ol_intrinsic,,,,,right,Tlp13,Tlp13,,,
43419,g10465,statusLabel: Prelim Roughly traced,GLUT,0.83,,,,,,ol_intrinsic,,,,,left,L1,L1,,,
43420,g10465,statusLabel: Roughly traced,GLUT,0.84,,,,,,ol_intrinsic,,,,,right,L1,L1,,,
43421,g12473,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Mi1,Mi1,,,
43422,g28473,"flywireType: CB0825,statusLabel: Roughly traced,supertype: 14960",ACH,0.97,,,,,,cb_intrinsic,,,MD_SA1,,left,GNG465,GNG465,,,
43423,g15710,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,TmY3,TmY3,,,
43424,g12847,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,TmY10,TmY10,,,
43425,g15710,statusLabel: Roughly traced,ACH,0.96,,,,,,ol_intrinsic,,,,,right,TmY3,TmY3,,,
43426,g16333,statusLabel: Prelim Roughly traced,GLUT,0.83,,,,,,ol_intrinsic,,,,,left,Dm4,Dm4,,,
43427,g10642,statusLabel: Roughly traced,,,,,,,,ol_intrinsic,,,,,right,Lawf2,Lawf2,,,
43428,g12783,"flywireType: LC10c,statusLabel: Roughly traced,supertype: 12783",ACH,0.97,,,,,,visual_projection,,,VPNd2,,right,LC10c-2,LC10c-2,,,
43430,g15260,"statusLabel: Prelim Roughly traced,supertype: 15260",ACH,0.96,,,,,,visual_projection,,,VPNp2,,left,LC18,LC18,,,
43431,g15432,"flywireType: Tlp1,statusLabel: Roughly traced",GLUT,0.85,,,,,,ol_intrinsic,,,,,right,Tlp12,Tlp12,,,
43432,g12473,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Mi1,Mi1,,,
43433,g43433,"flywireType: CB2581,CB3108,CB3273,statusLabel: Roughly traced,supertype: 40318",GABA,0.61,,,,,,cb_intrinsic,,,VLPp&l1_anterior,,left,,,,,
